titre,objet,mot_cle
FOYER RURAL DE CENOMES,"aménager dans son périmètre un centre d'aspect plaisant et ouvert à tous. Etudier en commun les questions techniques et sociales intéressant la vie rurale, développer l'éducation des milieux ruraux en matière syndicale, mutualiste et coopérative en liaison avec les organismes professionnels, favoriser l'éducation physique et sportive, organiser les loisirs de la collectivité (bibliothèque, conférences, réunions amicales, artistiques, ...), renforcer la solidarité morale des habitants",ouvert
BLANC - SAUVEGARDE - REHABILITATION,"Préserver et valoriser le hameau de Blanc, sis sur le territoire de la commune de Peux et Couffouleux. Remettre en état ce patrimoine immobilier actuellement à l'abandon, particulièrement l'église et sa sacristie, le cimetière, ainsi que l'environnement proche ; favoriser les recherches scientifiques (historiques, archéologiques,...) concernant le site ; encourager toutes les manifestations de vie auxquelles cet ensemble pourrait servir de cadre et notamment des activités culturelles et touri",touri
LE CHENE ET LE MANGUIER,"apporter un soutien dans le domaine de la santé, de l'éducation et la formation au village de Médina El Hadji (Sénégal), encourager et aider à la réalisation de leurs projets les associations locales liées au développement du village en respect avecl'environnement. Favoriser les échanges culturels sud/nord, nord/sud, organiser et participer à toutes manifestations se rapportant aux objectifs précédents",médina
"L'ECOLE BUISSONNIERE ""DES PETITS SENTIERS DE BIEN-ÊTRE""","offrir un espace intergénérationnel de création, de liberté et de solidarité dans un cadre convivial et respecteux ; favoriser la création individuelle et collective ; encourager les échanges de savoir et de savoir faire ; créer du lien entre les personnes (enfants, adolescents, adultes, seniors) et entre les générations dans le respect des différences",ecole
ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE PUBLIQUE DE LA CRESSE,gérer les activités scolaires et extra-scolaires,ecole
BOZENDO SAINT-AFFRIQUE,"l'étude et la pratique d'un art athlétique : la manipulation du bâton long sous la dénomination BOZENDO, qui peut être assimilé à l'escrime, à la gymnastique ainsi qu'à une des disciplines des arts martiaux, la culture physique sous toutes ses formes",long
MALI ACTION SOLIDARITE - FRANCE,apporter son aide au développement des pays d'Afrique de l'Ouest,mali
COTRAVAUX MIDI-PYRENEES,"impulser et animer une dynamique régionale sur les pratiques de travail volontaire, développer le travail volontaire associatif dans la région et réfléchir à son éthique, représenter l'expression collective de ses membres auprès des Pouvoirs Publics et de l'opinion publique, représenter Cotravaux en région, rassembler des organismes pour lesquels l'étude et l'exécution de travaux civils d'intérêt général, avec la participation de volontaires sur la base d'un projet pédagogique, soit un poi",midi
ASSOCIATION DE PARENTS D'ELEVES DE L'ECOLE PUBLIQUE DE SAINT SEVER,favoriser la scolarité des enfants de l'école de Saint-Séver,ecole
ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE JEAN-HENRI FABRE,organisation et gestion des animations afin de financer des activités scolaires et para-scolaires,ecole
AMICALE DES PARENTS D'ELEVES DE L'ECOLE PUBLIQUE DE SEGUR,réunir les parents d'élèves afin d'organiser des oeuvres post et péri scolaires,ecole
ASSOCIATION CULTURELLE ET SPORTIVE DES PARENTS ET AMIS DE L'ECOLE PRIMAIRE JULES FERRY,entretenir la vie culturelle et sportive de notre école Jules Ferry,ecole
ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE DES CASCADES,gestion et animation des activités scolaires et para-scolaires,ecole
ASSOCIATION DE PARENTS D'ELEVES DE L'ENSEIGNEMENT LIBRE (APEL) DE L'ECOLE SAINT-MICHEL DE CAMARES,"favoriser et garantir le libre choix de l'école, conformément au droit naturel des parents à l'éducation et à l'instruction de leurs enfants, selon leur conscience ; promouvoir le caractère propre de l'enseignement catholique, exprimé dans le projet éducatif de l'établissement, en collaboration avec ses responsables et les organismes concernés ; mettre en oeuvre et faire connaître le projet du mouvement des Apel et renforcer le sentiment d'appartenance à un mouvement national, à cet effet, adhérer à l'Apel du département de l'Aveyron, adhérente à l'Apel de l'académie de Toulouse, elle-même membre de l'Apel nationale, réunir toutes les personnes investies de l'autorité parentale à l'égard des enfants scolarisés dans l'établissement et assurer leur information ; représenter les familles auprès des pouvoirs publics et de toutes autorités civiles ou religieuses, et plus généralement auprès des tiers ; étudier toutes questions se rattachant à l'éducation des enfants, à leurs droits et leurs devoirs et ceux de leur famille ; permettre une entraide mutuelle des familles de l'établissement ; participer à la vie de la communauté éducative et la promouvoir, dans le respect des compétences de chacun ; apporter son soutien à l'établissement  et contribuer à son animation",ecole
ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE DU CERNON,organiser les animations de l'école,ecole
AMICALE DES CONCESSIONNAIRES ET DES ANCIENS CONCESSIONNAIRES DE LA REGION MIDI-PYRENEES,"accompagner l'ensemble des concessionnaires et anciens concessionnaires dans la formation, l'animation et voyages d'étude et toutes activités se rapportant à l'automobile",midi
ZI MOMO FAMILIA,"la création, la diffusion d'ateliers et de spectacles vivants, et la mise en place de toutes activités annexes pouvant concourir à la réalisation de l'objet",momo
SUR UN PLATEAU,"mettre en valeur le patrimoine et l'environnement de la Couvertoirade au travers de manifestations culturelles et festives, ciment de la vie collective",ciment
ASSOCIATION DES PARENTS D'ELEVES ET AMIS DE L'ECOLE DE LA FAGE (A.P.E.A. - CORNUS),viser le bien-être et l'épanouissement de l'enfant à l'école,ecole
ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE SAINTE-MARIE DE SAINT SERNIN SUR RANCE,"grouper les chefs de famille ayant la charge des enfants inscrits à l'école, apporter un soutien matériel et moral à l'école, aux familles et aux maîtres par toutes activités utiles, s'entendre avec toutes associations semblables",ecole
ASSOCIATION DES PARENTS D'ELEVES DE L'ECOLE MATERNELLE JEAN-HENRI FABRE,"organiser les oeuvres péri et postscolaires, financer des activités scolaires, toutes activités ayant pour but de faire vivre l'association",ecole
OGEC DU SAINT-SERNINOIS DE L'ECOLE SAINTE MARIE,"assurer conformément aux disposition législatives ou réglementaires, la fondation et l'entretien d'écoles catholiques reconnues comme telles par l'autorité caonique compétente, notamment la gestion de l'école privée de St. Sernin sur Rance, ainsi que la gestion de tout ce qui, de près ou de loin, directement ou indirectement, se rapporte à l'éducation et à l'enseignement, à cet effet, acquérir tous immeubles nécessaires à la réalisation de son objet ou en avoir la jouissance,",ecole
